idx,transition,original_width,original_height,input_png,output_png,mask_png,original_dng,exr_1,exr_2,tokenlight_png,scribblelight_png
67,ON,4032,3024,Input/IMG_CS2_5120_IMG_CS2_5119_input0.png,Output/IMG_CS2_5120_IMG_CS2_5119.png,Masks/IMG_CS2_5119.png,Originals/IMG_CS2_5120.DNG,Exrs/IMG_CS2_5120.exr,Exrs/IMG_CS2_5119.exr,TokenLight/IMG_CS2_5120_IMG_CS2_5119.png,ScribbleLight/IMG_CS2_5120_IMG_CS2_5119.png
68,OFF,8064,6048,Input/IMG_CS1_4969_IMG_CS1_4970_input0.png,Output/IMG_CS1_4969_IMG_CS1_4970.png,Masks/IMG_CS1_4969.png,Originals/IMG_CS1_4969.DNG,Exrs/IMG_CS1_4969.exr,Exrs/IMG_CS1_4970.exr,TokenLight/IMG_CS1_4969_IMG_CS1_4970.png,ScribbleLight/IMG_CS1_4969_IMG_CS1_4970.png
69,OFF,8064,6048,Input/IMG_CS1_5019_IMG_CS1_5020_input0.png,Output/IMG_CS1_5019_IMG_CS1_5020.png,Masks/IMG_CS1_5019.png,Originals/IMG_CS1_5019.DNG,Exrs/IMG_CS1_5019.exr,Exrs/IMG_CS1_5020.exr,TokenLight/IMG_CS1_5019_IMG_CS1_5020.png,ScribbleLight/IMG_CS1_5019_IMG_CS1_5020.png
70,OFF,3024,4032,Input/IMG_CS1_4991_IMG_CS1_4990_input0.png,Output/IMG_CS1_4991_IMG_CS1_4990.png,Masks/IMG_CS1_4991.png,Originals/IMG_CS1_4991.DNG,Exrs/IMG_CS1_4991.exr,Exrs/IMG_CS1_4990.exr,TokenLight/IMG_CS1_4991_IMG_CS1_4990.png,ScribbleLight/IMG_CS1_4991_IMG_CS1_4990.png
71,OFF,8064,6048,Input/IMG_CS2_5115_IMG_CS2_5114_input0.png,Output/IMG_CS2_5115_IMG_CS2_5114.png,Masks/IMG_CS2_5115.png,Originals/IMG_CS2_5115.DNG,Exrs/IMG_CS2_5115.exr,Exrs/IMG_CS2_5114.exr,TokenLight/IMG_CS2_5115_IMG_CS2_5114.png,ScribbleLight/IMG_CS2_5115_IMG_CS2_5114.png
72,ON,8064,6048,Input/IMG_CS1_4953_IMG_CS1_4952_input0.png,Output/IMG_CS1_4953_IMG_CS1_4952.png,Masks/IMG_CS1_4952.png,Originals/IMG_CS1_4953.DNG,Exrs/IMG_CS1_4953.exr,Exrs/IMG_CS1_4952.exr,TokenLight/IMG_CS1_4953_IMG_CS1_4952.png,ScribbleLight/IMG_CS1_4953_IMG_CS1_4952.png
73,ON,8064,6048,Input/IMG_CS1_4940_IMG_CS1_4941_input0.png,Output/IMG_CS1_4940_IMG_CS1_4941.png,Masks/IMG_CS1_4941.png,Originals/IMG_CS1_4940.DNG,Exrs/IMG_CS1_4940.exr,Exrs/IMG_CS1_4941.exr,TokenLight/IMG_CS1_4940_IMG_CS1_4941.png,ScribbleLight/IMG_CS1_4940_IMG_CS1_4941.png
74,ON,8064,6048,Input/IMG_CS2_5088_IMG_CS2_5089_input0.png,Output/IMG_CS2_5088_IMG_CS2_5089.png,Masks/IMG_CS2_5089.png,Originals/IMG_CS2_5088.DNG,Exrs/IMG_CS2_5088.exr,Exrs/IMG_CS2_5089.exr,TokenLight/IMG_CS2_5088_IMG_CS2_5089.png,ScribbleLight/IMG_CS2_5088_IMG_CS2_5089.png
75,ON,4032,3024,Input/IMG_CS2_5120_IMG_CS2_5121_input0.png,Output/IMG_CS2_5120_IMG_CS2_5121.png,Masks/IMG_CS2_5121.png,Originals/IMG_CS2_5120.DNG,Exrs/IMG_CS2_5120.exr,Exrs/IMG_CS2_5121.exr,TokenLight/IMG_CS2_5120_IMG_CS2_5121.png,ScribbleLight/IMG_CS2_5120_IMG_CS2_5121.png
76,OFF,6048,8064,Input/IMG_CS1_4963_IMG_CS1_4964_input0.png,Output/IMG_CS1_4963_IMG_CS1_4964.png,Masks/IMG_CS1_4963.png,Originals/IMG_CS1_4963.DNG,Exrs/IMG_CS1_4963.exr,Exrs/IMG_CS1_4964.exr,TokenLight/IMG_CS1_4963_IMG_CS1_4964.png,ScribbleLight/IMG_CS1_4963_IMG_CS1_4964.png
77,OFF,8064,6048,Input/IMG_CS1_5009_IMG_CS1_5008_input0.png,Output/IMG_CS1_5009_IMG_CS1_5008.png,Masks/IMG_CS1_5009.png,Originals/IMG_CS1_5009.DNG,Exrs/IMG_CS1_5009.exr,Exrs/IMG_CS1_5008.exr,TokenLight/IMG_CS1_5009_IMG_CS1_5008.png,ScribbleLight/IMG_CS1_5009_IMG_CS1_5008.png
78,OFF,3024,4032,Input/IMG_CS1_4992_IMG_CS1_4990_input0.png,Output/IMG_CS1_4992_IMG_CS1_4990.png,Masks/IMG_CS1_4992.png,Originals/IMG_CS1_4992.DNG,Exrs/IMG_CS1_4992.exr,Exrs/IMG_CS1_4990.exr,TokenLight/IMG_CS1_4992_IMG_CS1_4990.png,ScribbleLight/IMG_CS1_4992_IMG_CS1_4990.png
79,OFF,4032,3024,Input/IMG_CS2_5116_IMG_CS2_5117_input0.png,Output/IMG_CS2_5116_IMG_CS2_5117.png,Masks/IMG_CS2_5116.png,Originals/IMG_CS2_5116.DNG,Exrs/IMG_CS2_5116.exr,Exrs/IMG_CS2_5117.exr,TokenLight/IMG_CS2_5116_IMG_CS2_5117.png,ScribbleLight/IMG_CS2_5116_IMG_CS2_5117.png
80,ON,8064,6048,Input/IMG_CS1_4956_IMG_CS1_4955_input0.png,Output/IMG_CS1_4956_IMG_CS1_4955.png,Masks/IMG_CS1_4955.png,Originals/IMG_CS1_4956.DNG,Exrs/IMG_CS1_4956.exr,Exrs/IMG_CS1_4955.exr,TokenLight/IMG_CS1_4956_IMG_CS1_4955.png,ScribbleLight/IMG_CS1_4956_IMG_CS1_4955.png
81,ON,4032,3024,Input/IMG_CS1_4971_IMG_CS1_4972_input0.png,Output/IMG_CS1_4971_IMG_CS1_4972.png,Masks/IMG_CS1_4972.png,Originals/IMG_CS1_4971.DNG,Exrs/IMG_CS1_4971.exr,Exrs/IMG_CS1_4972.exr,TokenLight/IMG_CS1_4971_IMG_CS1_4972.png,ScribbleLight/IMG_CS1_4971_IMG_CS1_4972.png
82,ON,8064,6048,Input/IMG_CS2_5088_IMG_CS2_5090_input0.png,Output/IMG_CS2_5088_IMG_CS2_5090.png,Masks/IMG_CS2_5090.png,Originals/IMG_CS2_5088.DNG,Exrs/IMG_CS2_5088.exr,Exrs/IMG_CS2_5090.exr,TokenLight/IMG_CS2_5088_IMG_CS2_5090.png,ScribbleLight/IMG_CS2_5088_IMG_CS2_5090.png
83,ON,4032,3024,Input/IMG_CS2_5129_IMG_CS2_5130_input0.png,Output/IMG_CS2_5129_IMG_CS2_5130.png,Masks/IMG_CS2_5130.png,Originals/IMG_CS2_5129.DNG,Exrs/IMG_CS2_5129.exr,Exrs/IMG_CS2_5130.exr,TokenLight/IMG_CS2_5129_IMG_CS2_5130.png,ScribbleLight/IMG_CS2_5129_IMG_CS2_5130.png
84,OFF,8064,6048,Input/IMG_CS1_4960_IMG_CS1_4959_input0.png,Output/IMG_CS1_4960_IMG_CS1_4959.png,Masks/IMG_CS1_4960.png,Originals/IMG_CS1_4960.DNG,Exrs/IMG_CS1_4960.exr,Exrs/IMG_CS1_4959.exr,TokenLight/IMG_CS1_4960_IMG_CS1_4959.png,ScribbleLight/IMG_CS1_4960_IMG_CS1_4959.png
85,OFF,8064,6048,Input/IMG_CS1_5007_IMG_CS1_5006_input0.png,Output/IMG_CS1_5007_IMG_CS1_5006.png,Masks/IMG_CS1_5007.png,Originals/IMG_CS1_5007.DNG,Exrs/IMG_CS1_5007.exr,Exrs/IMG_CS1_5006.exr,TokenLight/IMG_CS1_5007_IMG_CS1_5006.png,ScribbleLight/IMG_CS1_5007_IMG_CS1_5006.png
86,OFF,8064,6048,Input/IMG_CS2_5086_IMG_CS2_5085_input0.png,Output/IMG_CS2_5086_IMG_CS2_5085.png,Masks/IMG_CS2_5086.png,Originals/IMG_CS2_5086.DNG,Exrs/IMG_CS2_5086.exr,Exrs/IMG_CS2_5085.exr,TokenLight/IMG_CS2_5086_IMG_CS2_5085.png,ScribbleLight/IMG_CS2_5086_IMG_CS2_5085.png
87,OFF,4032,3024,Input/IMG_CS2_5118_IMG_CS2_5117_input0.png,Output/IMG_CS2_5118_IMG_CS2_5117.png,Masks/IMG_CS2_5118.png,Originals/IMG_CS2_5118.DNG,Exrs/IMG_CS2_5118.exr,Exrs/IMG_CS2_5117.exr,TokenLight/IMG_CS2_5118_IMG_CS2_5117.png,ScribbleLight/IMG_CS2_5118_IMG_CS2_5117.png
88,ON,8064,6048,Input/IMG_CS1_4949_IMG_CS1_4948_input0.png,Output/IMG_CS1_4949_IMG_CS1_4948.png,Masks/IMG_CS1_4948.png,Originals/IMG_CS1_4949.DNG,Exrs/IMG_CS1_4949.exr,Exrs/IMG_CS1_4948.exr,TokenLight/IMG_CS1_4949_IMG_CS1_4948.png,ScribbleLight/IMG_CS1_4949_IMG_CS1_4948.png
89,ON,6048,8064,Input/IMG_CS1_4977_IMG_CS1_4976_input0.png,Output/IMG_CS1_4977_IMG_CS1_4976.png,Masks/IMG_CS1_4976.png,Originals/IMG_CS1_4977.DNG,Exrs/IMG_CS1_4977.exr,Exrs/IMG_CS1_4976.exr,TokenLight/IMG_CS1_4977_IMG_CS1_4976.png,ScribbleLight/IMG_CS1_4977_IMG_CS1_4976.png
90,ON,8064,6048,Input/IMG_CS2_5093_IMG_CS2_5092_input0.png,Output/IMG_CS2_5093_IMG_CS2_5092.png,Masks/IMG_CS2_5092.png,Originals/IMG_CS2_5093.DNG,Exrs/IMG_CS2_5093.exr,Exrs/IMG_CS2_5092.exr,TokenLight/IMG_CS2_5093_IMG_CS2_5092.png,ScribbleLight/IMG_CS2_5093_IMG_CS2_5092.png
91,ON,8064,6048,Input/IMG_CS2_5131_IMG_CS2_5132_input0.png,Output/IMG_CS2_5131_IMG_CS2_5132.png,Masks/IMG_CS2_5132.png,Originals/IMG_CS2_5131.DNG,Exrs/IMG_CS2_5131.exr,Exrs/IMG_CS2_5132.exr,TokenLight/IMG_CS2_5131_IMG_CS2_5132.png,ScribbleLight/IMG_CS2_5131_IMG_CS2_5132.png
92,OFF,8064,6048,Input/IMG_CS1_4962_IMG_CS1_4961_input0.png,Output/IMG_CS1_4962_IMG_CS1_4961.png,Masks/IMG_CS1_4962.png,Originals/IMG_CS1_4962.DNG,Exrs/IMG_CS1_4962.exr,Exrs/IMG_CS1_4961.exr,TokenLight/IMG_CS1_4962_IMG_CS1_4961.png,ScribbleLight/IMG_CS1_4962_IMG_CS1_4961.png
93,OFF,8064,6048,Input/IMG_CS1_5005_IMG_CS1_5004_input0.png,Output/IMG_CS1_5005_IMG_CS1_5004.png,Masks/IMG_CS1_5005.png,Originals/IMG_CS1_5005.DNG,Exrs/IMG_CS1_5005.exr,Exrs/IMG_CS1_5004.exr,TokenLight/IMG_CS1_5005_IMG_CS1_5004.png,ScribbleLight/IMG_CS1_5005_IMG_CS1_5004.png
94,OFF,8064,6048,Input/IMG_CS2_5087_IMG_CS2_5085_input0.png,Output/IMG_CS2_5087_IMG_CS2_5085.png,Masks/IMG_CS2_5087.png,Originals/IMG_CS2_5087.DNG,Exrs/IMG_CS2_5087.exr,Exrs/IMG_CS2_5085.exr,TokenLight/IMG_CS2_5087_IMG_CS2_5085.png,ScribbleLight/IMG_CS2_5087_IMG_CS2_5085.png
95,OFF,4032,3024,Input/IMG_CS2_5119_IMG_CS2_5120_input0.png,Output/IMG_CS2_5119_IMG_CS2_5120.png,Masks/IMG_CS2_5119.png,Originals/IMG_CS2_5119.DNG,Exrs/IMG_CS2_5119.exr,Exrs/IMG_CS2_5120.exr,TokenLight/IMG_CS2_5119_IMG_CS2_5120.png,ScribbleLight/IMG_CS2_5119_IMG_CS2_5120.png
96,ON,8064,6048,Input/IMG_CS1_4949_IMG_CS1_4950_input0.png,Output/IMG_CS1_4949_IMG_CS1_4950.png,Masks/IMG_CS1_4950.png,Originals/IMG_CS1_4949.DNG,Exrs/IMG_CS1_4949.exr,Exrs/IMG_CS1_4950.exr,TokenLight/IMG_CS1_4949_IMG_CS1_4950.png,ScribbleLight/IMG_CS1_4949_IMG_CS1_4950.png
97,ON,3024,4032,Input/IMG_CS1_4983_IMG_CS1_4982_input0.png,Output/IMG_CS1_4983_IMG_CS1_4982.png,Masks/IMG_CS1_4982.png,Originals/IMG_CS1_4983.DNG,Exrs/IMG_CS1_4983.exr,Exrs/IMG_CS1_4982.exr,TokenLight/IMG_CS1_4983_IMG_CS1_4982.png,ScribbleLight/IMG_CS1_4983_IMG_CS1_4982.png
98,ON,8064,6048,Input/IMG_CS2_5094_IMG_CS2_5095_input0.png,Output/IMG_CS2_5094_IMG_CS2_5095.png,Masks/IMG_CS2_5095.png,Originals/IMG_CS2_5094.DNG,Exrs/IMG_CS2_5094.exr,Exrs/IMG_CS2_5095.exr,TokenLight/IMG_CS2_5094_IMG_CS2_5095.png,ScribbleLight/IMG_CS2_5094_IMG_CS2_5095.png
99,ON,4032,3024,Input/IMG_CS2_5127_IMG_CS2_5128_input0.png,Output/IMG_CS2_5127_IMG_CS2_5128.png,Masks/IMG_CS2_5128.png,Originals/IMG_CS2_5127.DNG,Exrs/IMG_CS2_5127.exr,Exrs/IMG_CS2_5128.exr,TokenLight/IMG_CS2_5127_IMG_CS2_5128.png,ScribbleLight/IMG_CS2_5127_IMG_CS2_5128.png
100,OFF,8064,6048,Input/IMG_CS1_4952_IMG_CS1_4953_input0.png,Output/IMG_CS1_4952_IMG_CS1_4953.png,Masks/IMG_CS1_4952.png,Originals/IMG_CS1_4952.DNG,Exrs/IMG_CS1_4952.exr,Exrs/IMG_CS1_4953.exr,TokenLight/IMG_CS1_4952_IMG_CS1_4953.png,ScribbleLight/IMG_CS1_4952_IMG_CS1_4953.png
101,OFF,8064,6048,Input/IMG_CS1_4941_IMG_CS1_4940_input0.png,Output/IMG_CS1_4941_IMG_CS1_4940.png,Masks/IMG_CS1_4941.png,Originals/IMG_CS1_4941.DNG,Exrs/IMG_CS1_4941.exr,Exrs/IMG_CS1_4940.exr,TokenLight/IMG_CS1_4941_IMG_CS1_4940.png,ScribbleLight/IMG_CS1_4941_IMG_CS1_4940.png
102,OFF,8064,6048,Input/IMG_CS2_5089_IMG_CS2_5088_input0.png,Output/IMG_CS2_5089_IMG_CS2_5088.png,Masks/IMG_CS2_5089.png,Originals/IMG_CS2_5089.DNG,Exrs/IMG_CS2_5089.exr,Exrs/IMG_CS2_5088.exr,TokenLight/IMG_CS2_5089_IMG_CS2_5088.png,ScribbleLight/IMG_CS2_5089_IMG_CS2_5088.png
103,OFF,4032,3024,Input/IMG_CS2_5121_IMG_CS2_5120_input0.png,Output/IMG_CS2_5121_IMG_CS2_5120.png,Masks/IMG_CS2_5121.png,Originals/IMG_CS2_5121.DNG,Exrs/IMG_CS2_5121.exr,Exrs/IMG_CS2_5120.exr,TokenLight/IMG_CS2_5121_IMG_CS2_5120.png,ScribbleLight/IMG_CS2_5121_IMG_CS2_5120.png
104,ON,3024,4032,Input/IMG_CS1_4981_IMG_CS1_4980_input0.png,Output/IMG_CS1_4981_IMG_CS1_4980.png,Masks/IMG_CS1_4980.png,Originals/IMG_CS1_4981.DNG,Exrs/IMG_CS1_4981.exr,Exrs/IMG_CS1_4980.exr,TokenLight/IMG_CS1_4981_IMG_CS1_4980.png,ScribbleLight/IMG_CS1_4981_IMG_CS1_4980.png
105,ON,3024,4032,Input/IMG_CS1_4968_IMG_CS1_4965_input0.png,Output/IMG_CS1_4968_IMG_CS1_4965.png,Masks/IMG_CS1_4965.png,Originals/IMG_CS1_4968.DNG,Exrs/IMG_CS1_4968.exr,Exrs/IMG_CS1_4965.exr,TokenLight/IMG_CS1_4968_IMG_CS1_4965.png,ScribbleLight/IMG_CS1_4968_IMG_CS1_4965.png
106,ON,8064,6048,Input/IMG_CS2_5096_IMG_CS2_5097_input0.png,Output/IMG_CS2_5096_IMG_CS2_5097.png,Masks/IMG_CS2_5097.png,Originals/IMG_CS2_5096.DNG,Exrs/IMG_CS2_5096.exr,Exrs/IMG_CS2_5097.exr,TokenLight/IMG_CS2_5096_IMG_CS2_5097.png,ScribbleLight/IMG_CS2_5096_IMG_CS2_5097.png
107,ON,8064,6048,Input/IMG_CS2_5135_IMG_CS2_5136_input0.png,Output/IMG_CS2_5135_IMG_CS2_5136.png,Masks/IMG_CS2_5136.png,Originals/IMG_CS2_5135.DNG,Exrs/IMG_CS2_5135.exr,Exrs/IMG_CS2_5136.exr,TokenLight/IMG_CS2_5135_IMG_CS2_5136.png,ScribbleLight/IMG_CS2_5135_IMG_CS2_5136.png
108,OFF,8064,6048,Input/IMG_CS1_4955_IMG_CS1_4956_input0.png,Output/IMG_CS1_4955_IMG_CS1_4956.png,Masks/IMG_CS1_4955.png,Originals/IMG_CS1_4955.DNG,Exrs/IMG_CS1_4955.exr,Exrs/IMG_CS1_4956.exr,TokenLight/IMG_CS1_4955_IMG_CS1_4956.png,ScribbleLight/IMG_CS1_4955_IMG_CS1_4956.png
109,OFF,4032,3024,Input/IMG_CS1_4972_IMG_CS1_4971_input0.png,Output/IMG_CS1_4972_IMG_CS1_4971.png,Masks/IMG_CS1_4972.png,Originals/IMG_CS1_4972.DNG,Exrs/IMG_CS1_4972.exr,Exrs/IMG_CS1_4971.exr,TokenLight/IMG_CS1_4972_IMG_CS1_4971.png,ScribbleLight/IMG_CS1_4972_IMG_CS1_4971.png
110,OFF,8064,6048,Input/IMG_CS2_5090_IMG_CS2_5088_input0.png,Output/IMG_CS2_5090_IMG_CS2_5088.png,Masks/IMG_CS2_5090.png,Originals/IMG_CS2_5090.DNG,Exrs/IMG_CS2_5090.exr,Exrs/IMG_CS2_5088.exr,TokenLight/IMG_CS2_5090_IMG_CS2_5088.png,ScribbleLight/IMG_CS2_5090_IMG_CS2_5088.png
111,OFF,4032,3024,Input/IMG_CS2_5130_IMG_CS2_5129_input0.png,Output/IMG_CS2_5130_IMG_CS2_5129.png,Masks/IMG_CS2_5130.png,Originals/IMG_CS2_5130.DNG,Exrs/IMG_CS2_5130.exr,Exrs/IMG_CS2_5129.exr,TokenLight/IMG_CS2_5130_IMG_CS2_5129.png,ScribbleLight/IMG_CS2_5130_IMG_CS2_5129.png
112,ON,3024,4032,Input/IMG_CS1_4979_IMG_CS1_4978_input0.png,Output/IMG_CS1_4979_IMG_CS1_4978.png,Masks/IMG_CS1_4978.png,Originals/IMG_CS1_4979.DNG,Exrs/IMG_CS1_4979.exr,Exrs/IMG_CS1_4978.exr,TokenLight/IMG_CS1_4979_IMG_CS1_4978.png,ScribbleLight/IMG_CS1_4979_IMG_CS1_4978.png
113,ON,3024,4032,Input/IMG_CS1_4968_IMG_CS1_4966_input0.png,Output/IMG_CS1_4968_IMG_CS1_4966.png,Masks/IMG_CS1_4966.png,Originals/IMG_CS1_4968.DNG,Exrs/IMG_CS1_4968.exr,Exrs/IMG_CS1_4966.exr,TokenLight/IMG_CS1_4968_IMG_CS1_4966.png,ScribbleLight/IMG_CS1_4968_IMG_CS1_4966.png
114,ON,4032,3024,Input/IMG_CS2_5102_IMG_CS2_5101_input0.png,Output/IMG_CS2_5102_IMG_CS2_5101.png,Masks/IMG_CS2_5101.png,Originals/IMG_CS2_5102.DNG,Exrs/IMG_CS2_5102.exr,Exrs/IMG_CS2_5101.exr,TokenLight/IMG_CS2_5102_IMG_CS2_5101.png,ScribbleLight/IMG_CS2_5102_IMG_CS2_5101.png
115,ON,8064,6048,Input/IMG_CS2_5137_IMG_CS2_5138_input0.png,Output/IMG_CS2_5137_IMG_CS2_5138.png,Masks/IMG_CS2_5138.png,Originals/IMG_CS2_5137.DNG,Exrs/IMG_CS2_5137.exr,Exrs/IMG_CS2_5138.exr,TokenLight/IMG_CS2_5137_IMG_CS2_5138.png,ScribbleLight/IMG_CS2_5137_IMG_CS2_5138.png
116,OFF,8064,6048,Input/IMG_CS1_4948_IMG_CS1_4949_input0.png,Output/IMG_CS1_4948_IMG_CS1_4949.png,Masks/IMG_CS1_4948.png,Originals/IMG_CS1_4948.DNG,Exrs/IMG_CS1_4948.exr,Exrs/IMG_CS1_4949.exr,TokenLight/IMG_CS1_4948_IMG_CS1_4949.png,ScribbleLight/IMG_CS1_4948_IMG_CS1_4949.png
117,OFF,6048,8064,Input/IMG_CS1_4976_IMG_CS1_4977_input0.png,Output/IMG_CS1_4976_IMG_CS1_4977.png,Masks/IMG_CS1_4976.png,Originals/IMG_CS1_4976.DNG,Exrs/IMG_CS1_4976.exr,Exrs/IMG_CS1_4977.exr,TokenLight/IMG_CS1_4976_IMG_CS1_4977.png,ScribbleLight/IMG_CS1_4976_IMG_CS1_4977.png
118,OFF,8064,6048,Input/IMG_CS2_5092_IMG_CS2_5093_input0.png,Output/IMG_CS2_5092_IMG_CS2_5093.png,Masks/IMG_CS2_5092.png,Originals/IMG_CS2_5092.DNG,Exrs/IMG_CS2_5092.exr,Exrs/IMG_CS2_5093.exr,TokenLight/IMG_CS2_5092_IMG_CS2_5093.png,ScribbleLight/IMG_CS2_5092_IMG_CS2_5093.png
119,OFF,8064,6048,Input/IMG_CS2_5132_IMG_CS2_5131_input0.png,Output/IMG_CS2_5132_IMG_CS2_5131.png,Masks/IMG_CS2_5132.png,Originals/IMG_CS2_5132.DNG,Exrs/IMG_CS2_5132.exr,Exrs/IMG_CS2_5131.exr,TokenLight/IMG_CS2_5132_IMG_CS2_5131.png,ScribbleLight/IMG_CS2_5132_IMG_CS2_5131.png
120,ON,4032,3024,Input/IMG_CS1_4995_IMG_CS1_4993_input0.png,Output/IMG_CS1_4995_IMG_CS1_4993.png,Masks/IMG_CS1_4993.png,Originals/IMG_CS1_4995.DNG,Exrs/IMG_CS1_4995.exr,Exrs/IMG_CS1_4993.exr,TokenLight/IMG_CS1_4995_IMG_CS1_4993.png,ScribbleLight/IMG_CS1_4995_IMG_CS1_4993.png
121,ON,3024,4032,Input/IMG_CS1_4968_IMG_CS1_4967_input0.png,Output/IMG_CS1_4968_IMG_CS1_4967.png,Masks/IMG_CS1_4967.png,Originals/IMG_CS1_4968.DNG,Exrs/IMG_CS1_4968.exr,Exrs/IMG_CS1_4967.exr,TokenLight/IMG_CS1_4968_IMG_CS1_4967.png,ScribbleLight/IMG_CS1_4968_IMG_CS1_4967.png
122,ON,4032,3024,Input/IMG_CS2_5108_IMG_CS2_5105_input0.png,Output/IMG_CS2_5108_IMG_CS2_5105.png,Masks/IMG_CS2_5105.png,Originals/IMG_CS2_5108.DNG,Exrs/IMG_CS2_5108.exr,Exrs/IMG_CS2_5105.exr,TokenLight/IMG_CS2_5108_IMG_CS2_5105.png,ScribbleLight/IMG_CS2_5108_IMG_CS2_5105.png
123,ON,8064,6048,Input/IMG_CS2_5139_IMG_CS2_5140_input0.png,Output/IMG_CS2_5139_IMG_CS2_5140.png,Masks/IMG_CS2_5140.png,Originals/IMG_CS2_5139.DNG,Exrs/IMG_CS2_5139.exr,Exrs/IMG_CS2_5140.exr,TokenLight/IMG_CS2_5139_IMG_CS2_5140.png,ScribbleLight/IMG_CS2_5139_IMG_CS2_5140.png
124,OFF,8064,6048,Input/IMG_CS1_4950_IMG_CS1_4949_input0.png,Output/IMG_CS1_4950_IMG_CS1_4949.png,Masks/IMG_CS1_4950.png,Originals/IMG_CS1_4950.DNG,Exrs/IMG_CS1_4950.exr,Exrs/IMG_CS1_4949.exr,TokenLight/IMG_CS1_4950_IMG_CS1_4949.png,ScribbleLight/IMG_CS1_4950_IMG_CS1_4949.png
125,OFF,3024,4032,Input/IMG_CS1_4982_IMG_CS1_4983_input0.png,Output/IMG_CS1_4982_IMG_CS1_4983.png,Masks/IMG_CS1_4982.png,Originals/IMG_CS1_4982.DNG,Exrs/IMG_CS1_4982.exr,Exrs/IMG_CS1_4983.exr,TokenLight/IMG_CS1_4982_IMG_CS1_4983.png,ScribbleLight/IMG_CS1_4982_IMG_CS1_4983.png
126,OFF,8064,6048,Input/IMG_CS2_5095_IMG_CS2_5094_input0.png,Output/IMG_CS2_5095_IMG_CS2_5094.png,Masks/IMG_CS2_5095.png,Originals/IMG_CS2_5095.DNG,Exrs/IMG_CS2_5095.exr,Exrs/IMG_CS2_5094.exr,TokenLight/IMG_CS2_5095_IMG_CS2_5094.png,ScribbleLight/IMG_CS2_5095_IMG_CS2_5094.png
127,OFF,8064,6048,Input/IMG_CS2_5128_IMG_CS2_5127_input0.png,Output/IMG_CS2_5128_IMG_CS2_5127.png,Masks/IMG_CS2_5128.png,Originals/IMG_CS2_5128.DNG,Exrs/IMG_CS2_5128.exr,Exrs/IMG_CS2_5127.exr,TokenLight/IMG_CS2_5128_IMG_CS2_5127.png,ScribbleLight/IMG_CS2_5128_IMG_CS2_5127.png
